Date,spx,spx_ma200,spx_dist,spx_dist_s,t_trend,vix,vix_ma20,t_fear,vix_spike,freeze,hy,hy_ma20,hy_missing,t_credit,score_raw,score_s,vix_peak60,c_vix_below_25,c_vix_falling,c_hy_narrowing,stab_raw,stab_s,stab_n,kospi,kospi_ma200,kospi_dist,kospi_dist_s,kr_below_ma,kr_overheat,usdkrw,fx_chg,fx_warn,move,move_warn,move_extreme,frag_breadth,frag_credit,frag_curve,rsp_spy_chg,t10y2y,credit_widen,near_high,fragility,regime,exposure_us,ladder_days,ladder_step,shock_age,no_new_buys,exposure_kr,trading_bucket
2004-01-02,1108.4800,994.0001,0.1152,0.1165,0.0000,18.2200,16.9365,0.0000,0.0000,0.0000,2.3200,2.3330,0.0000,0.0000,0.0000,0.0000,19.4800,1.0000,1.0000,1.0000,3.0000,2.2000,2.0000,821.2600,704.0228,0.1665,0.1476,0.0000,0.0000,1195.8000,0.0028,0.0000,118.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0209,2.4400,0.0300,1.0000,0.0000,uptrend,65.0000,0,0,0,0.0000,65.0000,20.0000
2004-01-05,1122.2200,995.2329,0.1276,0.1204,0.0000,17.4900,16.9960,0.0000,0.0000,0.0000,2.2700,2.3320,0.0000,0.0000,0.0000,0.0000,19.4800,1.0000,1.0000,1.0000,3.0000,2.4000,2.0000,824.1000,705.3010,0.1684,0.1555,0.0000,1.0000,1178.9000,-0.0094,0.0000,113.8400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0229,2.4600,-0.0200,1.0000,0.0000,overheated,50.0000,0,0,0,0.0000,50.0000,20.0000
2004-01-06,1123.6700,996.3723,0.1278,0.1219,0.0000,16.7300,16.9780,0.0000,0.0000,0.0000,2.3200,2.3315,0.0000,0.0000,0.0000,0.0000,19.4800,1.0000,1.0000,1.0000,3.0000,2.6000,3.0000,823.4300,706.5393,0.1654,0.1621,0.0000,1.0000,1189.4000,0.0040,0.0000,108.7700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0204,2.4500,-0.0100,1.0000,0.0000,overheated,50.0000,0,0,0,0.0000,50.0000,20.0000
2004-01-07,1126.3300,997.6828,0.1289,0.1239,0.0000,15.5000,16.9260,0.0000,0.0000,0.0000,2.3000,2.3300,0.0000,0.0000,0.0000,0.0000,19.4800,1.0000,1.0000,1.0000,3.0000,2.8000,3.0000,827.0700,707.8254,0.1685,0.1645,0.0000,1.0000,1176.8000,-0.0074,0.0000,110.9100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0212,2.4300,-0.0300,1.0000,0.0000,overheated,50.0000,0,0,0,0.0000,50.0000,20.0000
2004-01-08,1131.9200,998.9687,0.1331,0.1265,0.0000,15.6100,16.8250,0.0000,0.0000,0.0000,2.2600,2.3260,0.0000,0.0000,0.0000,0.0000,19.4800,1.0000,1.0000,1.0000,3.0000,3.0000,3.0000,824.1500,709.1712,0.1621,0.1662,0.0000,1.0000,1171.0000,-0.0099,0.0000,109.7100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0178,2.4200,-0.0800,1.0000,0.0000,overheated,50.0000,0,0,0,0.0000,50.0000,20.0000
2004-01-09,1121.8600,1000.2283,0.1216,0.1278,0.0000,16.7500,16.7690,0.0000,0.0000,0.0000,2.3100,2.3240,0.0000,0.0000,0.0000,0.0000,19.4800,1.0000,1.0000,1.0000,3.0000,3.0000,3.0000,845.2700,710.6236,0.1895,0.1708,0.0000,1.0000,1181.3000,0.0042,0.0000,102.8200,0.0000,0.0000,0.0000,0.0000,0.0000,0.0213,2.4300,-0.0400,1.0000,0.0000,overheated,50.0000,0,0,0,0.0000,50.0000,20.0000
2004-01-12,1127.2300,1001.5218,0.1255,0.1274,0.0000,16.8200,16.7735,0.0000,0.0000,0.0000,2.3200,2.3225,0.0000,0.0000,0.0000,0.0000,19.4800,1.0000,1.0000,1.0000,3.0000,3.0000,3.0000,850.7900,712.1313,0.1947,0.1760,0.0000,1.0000,1168.8000,-0.0009,0.0000,100.2100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0202,2.4300,-0.0300,1.0000,0.0000,overheated,50.0000,0,0,0,0.0000,50.0000,20.0000
2004-01-13,1121.2200,1002.8104,0.1181,0.1254,0.0000,18.0400,16.8550,0.0000,0.0000,0.0000,2.3500,2.3230,0.0000,0.0000,0.0000,0.0000,19.4800,1.0000,1.0000,0.0000,2.0000,2.8000,3.0000,848.4300,713.5918,0.1890,0.1807,0.0000,1.0000,1175.3000,0.0018,0.0000,97.5400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0230,2.4200,0.0100,1.0000,0.0000,overheated,50.0000,0,0,0,0.0000,50.0000,20.0000
2004-01-14,1130.5200,1004.2221,0.1258,0.1248,0.0000,16.7500,16.8310,0.0000,0.0000,0.0000,2.3300,2.3225,0.0000,0.0000,0.0000,0.0000,19.4800,1.0000,1.0000,0.0000,2.0000,2.6000,3.0000,849.6200,715.1614,0.1880,0.1847,0.0000,1.0000,1175.2000,-0.0040,0.0000,100.8300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0247,2.3600,-0.0100,1.0000,0.0000,overheated,50.0000,0,0,0,0.0000,50.0000,20.0000
2004-01-15,1132.0500,1005.5900,0.1258,0.1233,0.0000,15.5600,16.8125,0.0000,0.0000,0.0000,2.3300,2.3215,0.0000,0.0000,0.0000,0.0000,19.4800,1.0000,1.0000,0.0000,2.0000,2.4000,2.0000,845.6600,716.6969,0.1799,0.1882,0.0000,1.0000,1174.5000,-0.0045,0.0000,103.6400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0288,2.3200,-0.0200,1.0000,0.0000,overheated,50.0000,0,0,0,0.0000,50.0000,20.0000
